intercept	trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	trans_x_derivative1	trans_y_derivative1	trans_z_derivative1	rot_x_derivative1	rot_y_derivative1	rot_z_derivative1	trans_x_power2	trans_y_power2	trans_z_power2	rot_x_power2	rot_y_power2	rot_z_power2	trans_x_derivative1_power2	trans_y_derivative1_power2	trans_z_derivative1_power2	rot_x_derivative1_power2	rot_y_derivative1_power2	rot_z_derivative1_power2	cosine00	cosine01	cosine02	cosine03	cosine04
1.0	0.0055615691079538	-0.0158162602553915	-0.0098858415645111	-0.0002329962011555	0.0001150076874207	-6.598660333606949e-05	-4.7213433099733983e-08	-0.1078156492075095	0.0658603632029866	-0.0004599999905692	1.518000079999695e-08	2.6450045320823506e-08	3.0931050942546025e-05	0.0002501540884662	9.772986343861528e-05	5.4287229752894214e-08	1.3226768165857436e-08	4.354231819831777e-09	2.2291082650630548e-15	0.0116242142140367	0.0043375874412293	2.115999913236641e-07	2.3043242428790807e-16	6.996048974736172e-16	0.0833690079	-0.0040658442	-0.0890206905	-0.1196764004	-0.0773341911
1.0	0.0018389871390098	0.1194587128149464	-0.0952758047950226	-0.0013879966715528	0.0001155456694188	-6.54201298094715e-05	-0.003722581968944	0.1352749730703379	-0.0853899632305115	-0.0011550004703972	5.379819980999947e-07	5.664735265979861e-07	3.3818736974434497e-06	0.0142703840674038	0.0090774789793392	1.926534760241652e-06	1.3350801721438612e-08	4.279793384288102e-09	1.3857616515506987e-05	0.0182993183391806	0.0072914458205081	1.334026086617984e-06	2.8942463027966266e-13	3.208922563363593e-13	0.0813986382	-0.0094788943	-0.0942632658	-0.1184539393	-0.0665008237
1.0	-0.0098983889590442	-0.0893580003587715	0.0677599560051618	-0.0006669634348514	0.0002381023327706	-0.0003079207845984	-0.011737376098054	-0.2088167131737179	0.1630357608001844	0.0007210332367014	0.0001225566633518	-0.0002425006547889	9.79781039845281e-05	0.0079848522281182	0.0045914116378214	4.4484022342877773e-07	5.6692720870801546e-08	9.481520958769429e-08	0.0001377659976671	0.0436044197006747	0.0265806592996949	5.198889284280971e-07	1.5020135731926435e-08	5.88065675730591e-08	0.07938669	-0.0148725796	-0.0990726408	-0.1162639941	-0.0548191066
1.0	-0.0151059610077766	-0.0392900318727384	0.0122329274223744	-0.0007629911305063	7.409269397684604e-05	-0.0002429713881791	-0.0052075720487324	0.0500679684860331	-0.0555270285827873	-9.602769565489994e-05	-0.0001640096387937	6.494939641930002e-05	0.0002281900579684	0.0015437066045607	0.000149644513321	5.821554652312816e-07	5.489727300746557e-09	5.9035095473678896e-08	2.7118806642738973e-05	0.0025068014683184	0.0030832509032336	9.221318332790089e-09	2.6899161617257645e-08	4.218424095231382e-09	0.0773341911	-0.0202358811	-0.1034267134	-0.1131244514	-0.0424380632
1.0	-0.0152379627638339	-0.0135995801371251	0.017669723266124	-0.0009860010099234	-3.9967432155840754e-05	-6.6019702953303e-05	-0.0001320017560572	0.0256904517356133	0.0054367958437495	-0.0002230098794171	-0.0001140601261326	0.0001769516852257	0.0002321955091919	0.000184948579906	0.0003122191203014	9.721979915699649e-07	1.5973956331317332e-09	4.358601178042364e-09	1.7424463602210872e-08	0.0006599993103798	2.955874904661292e-05	4.9733406317629503e-08	1.300971237340442e-08	3.131189890424955e-08	0.0752421898	-0.0255578418	-0.1073054737	-0.1090609537	-0.0295156382
1.0	-0.0152142704335176	0.0042196866149595	-0.0678328960481877	-0.0003249956692178	0.0001310107249585	-6.597871343680173e-05	2.3692330316299123e-05	0.0178192667520846	-0.0855026193143116	0.0006610053407056	0.0001709781571143	4.09895165012688e-08	0.0002314740248242	1.7805755128468367e-05	0.0046013017862842	1.0562218501032569e-07	1.7163810054151736e-08	4.3531906267756e-09	5.613265158166266e-10	0.0003175262675819	0.0073106979096081	4.3692806044132633e-07	2.92335302102162e-08	1.6801404630077868e-15	0.0731117546	-0.0308275893	-0.1106910964	-0.1041066901	-0.0162166827
1.0	-0.0152812081894211	0.0645972392796636	-0.1090173969121082	-0.0010159992414159	1.3533528103737424e-05	-6.599339048656737e-05	-6.693775590349907e-05	0.0603775526647041	-0.0411845008639205	-0.000691003572198	-0.0001174771968547	-1.4677049765647598e-08	0.0002335153237284	0.0041728033225541	0.0118847928294921	1.0322544585576842e-06	1.831563829346507e-10	4.355127587912561e-09	4.480663165396424e-09	0.0036454488657791	0.0016961631114102	4.774859367905347e-07	1.380089178085264e-08	2.1541578982329622e-16	0.070943974	-0.0360343578	-0.1135680224	-0.098302125	-0.0027108513
1.0	-0.0126910702684313	-0.0913228788589748	-0.0289453607524876	-0.0002819977098009	6.900930380404624e-05	-6.599027159147497e-05	0.0025901379209897	-0.1559201181386384	0.0800720361596206	0.0007340015316149	5.5475775700308816e-05	3.118895092399918e-09	0.0001610632645582	0.0083398682030909	0.0008378339090916	7.952270833295261e-08	4.762284011519151e-09	4.354715944716629e-09	6.70881444974936e-06	0.0243110832403669	0.0064115309747475	5.387582484131657e-07	3.0775616895509743e-09	9.727506597396296e-18	0.0687399551	-0.0411675101	-0.1159230303	-0.0916946678	0.0108295624
1.0	-0.0152548076668637	0.0323727796584023	-0.0455813980214969	-7.100009745123257e-05	-2.9976569921874585e-06	-6.600010328201177e-05	-0.0025637373984324	0.1236956585173771	-0.0166360372690092	0.0002109976123496	-7.20069607962337e-05	-9.831690536799368e-09	0.000232709156953	0.0010479968628114	0.0020776638455941	5.041013838084521e-09	8.985947442810359e-12	4.356013633236221e-09	6.57274944812093e-06	0.0153006159360475	0.0002767577360158	4.4519992417260535e-08	5.185002403110337e-09	9.666213881139024e-17	0.0665008237	-0.0462165596	-0.1177452974	-0.0843382854	0.0242318235
1.0	-0.0151764311888769	-0.014980846048175	0.0344533305268583	7.399805621897692e-05	-5.900244189804837e-05	-6.599781753498101e-05	7.837647798680097e-05	-0.0473536257065773	0.0800347285483552	0.0001449981536702	-5.600478490586091e-05	2.2857470307642703e-09	0.0002303240636307	0.0002244257483191	0.0011870319843929	5.475712324186869e-09	3.4812881499325723e-09	4.355711919380647e-09	6.142872301615497e-09	0.0022423658675586	0.0064055577738089	2.1024464567769688e-08	3.136535932351746e-09	5.224639488647676e-18	0.0642277237	-0.0511711914	-0.1190264491	-0.0762930619	0.0373249597
